title,name,phone,email
浙江大学计划生育研究所,黄荷凤,0571－87915954,
浙江大学急诊医学研究所,江观玉,0571－87217070,
浙江大学免疫学研究所,曹雪涛,0571-87217151,
浙江大学社会医学与全科医学研究所,李鲁,0571-87217006,
浙江大学眼科研究所,姚克,,
浙江大学高等数学研究所,林芳华,0571-88912687,yibingshen@zju.edu.cn
浙江大学系统工程研究所,王慧,0571-87951970,
浙江近代物理中心,贺贤土,0571-8795 2754,hpying@zimp.zju.edu.cn
浙江大学有机化学研究所,包伟良,0571-88807077,wlbao@css.zju.edu.cn
浙江大学工业控制技术研究所,李平,0571-87951442,cysong@iipc.zju.edu.cn
浙江大学凝聚态物理研究所,鲍世宁,0571-87951594,phybao@dial.zju.edu.cn
浙江大学骨科研究所,杨迪生,0571-87783545,
浙江大学农业生物环境工程研究所,杨祥龙,0571-86971554,
浙江大学药物研究所,胡永洲,0571-87217210,
浙江大学物理化学研究所,张秉坚,0571-87951352,zbj@mail.hz.zj.cn
浙江大学图像图形研究所,汪国昭,0571-87951429,wgz@math.zju.edu.cn
浙江大学无机与材料化学研究所,刘子阳,0571-87951158,zyliu@css.zju.edu.cn
浙江大学空间信息技术研究所,张登荣,0571-87951336,rs.gis.gps@zju.edu.cn
浙江大学光学研究所,林 强,0571-87953231,zjuoptics@zju.edu.cn
浙江大学应用物理研究所,曹志彤,0571-87953227,iap@zju.edu.cn
浙江大学分子设计与分子热力学研究所,王琦,0571-87952424,qiwang@css.zju.edu.cn
浙江大学地理信息科学研究所,刘南,0571-88273048,
浙江大学食品科学与发酵工程研究所,何国庆,0571-86971554,
浙江大学电力经济及信息化研究所,文福拴,0571-87952706,
浙江大学临床工程研究所,陆金芳,0571-87217227,
浙江大学电工电子新技术研究所,王小海,0571-87952706,
浙江大学电机及其控制研究所,黄进,0571-87952706,
浙江大学电力系统自动化研究所,邱家驹,0571-87952706,
浙江大学现代制造工程研究所,陈子辰,0571-87951145,
浙江大学环境工程研究所,汪大翚,0571-87951239,
浙江大学环境保护研究所,陈英旭,0571- 86971424,
浙江大学土水资源与环境研究所,徐建明,0571-86971145,
浙江大学机械电子控制工程研究所,王庆丰,0571-87951270,
浙江大学工程及计算机图学研究所,谭建荣,0571-87951273,
浙江大学计算机软件研究所,陈纯,0571-87952600,
浙江大学农业化学研究所,章永松,0571-86971148,
浙江大学农业遥感与信息技术应用研究所,王珂,0571-86971831,
浙江大学系统科学及控制研究所,韦巍,0571-87952706,
浙江大学土地科学与不动产管理研究所,吴次芳,0571-86942906,
浙江大学环境科学研究所,刘维屏,0571-86971386,
浙江大学计算机系统工程研究所,李国杰,0571-87951793,
浙江大学环境污染控制技术研究所,张建英,0571－88273643,
浙江大学电气自动化研究所,颜钢锋,0571-87952706,
浙江大学建筑经济与管理研究所,熊鹰,0571-87951343,
浙江大学交通工程研究所,项贻强,0571-7951804,
浙江大学作物科学与技术研究所,张国平,0571-86971620,
浙江大学蔬菜研究所,曹家树,0751-86971121,
浙江大学市政工程研究所,张仪萍,0571-87952096,
浙江大学水工结构与水环境研究所,刘国华,0571-87952261,
浙江大学水文与水资源工程研究所,孙志林,571-88273058,
浙江大学岩土工程研究所,王立忠,0571-87951714,
浙江大学企业组织与战略研究所,项保华,0571-87951218,
硅材料国家重点实验室,朱丽萍,0571-88206950,jszy2@zju.edu.cn
